no_of_dependents,education_encoded,self_employed_encoded,income_annum,loan_amount,loan_term,cibil_score_encoded,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status_encoded
1,0,0,4100000,15800000,12,1,9700000,7300000,15200000,5700000,0
0,0,1,7300000,22600000,12,4,3300000,3400000,24800000,5300000,1
4,0,1,9200000,28100000,12,4,23200000,9700000,22300000,12900000,1
0,0,0,800000,2400000,2,3,700000,1200000,3100000,400000,1
4,0,0,2900000,11200000,10,3,6600000,4000000,7300000,1600000,1
3,0,0,8100000,21600000,4,3,22400000,3700000,16900000,9900000,1
0,1,0,9300000,20300000,14,4,27000000,11600000,26500000,10900000,1
4,1,1,9200000,29400000,14,1,4900000,0,33500000,10100000,0
3,0,1,3100000,6300000,18,4,2300000,3400000,10500000,4200000,1
3,0,1,7000000,15400000,20,1,19900000,7600000,16400000,5900000,0
4,0,0,3900000,8800000,14,1,4600000,4900000,14900000,3100000,0
3,1,0,5500000,19800000,14,4,7300000,3000000,15500000,3100000,1
0,1,0,6600000,13700000,20,3,3600000,2400000,23900000,6000000,1
2,0,0,9900000,31600000,16,4,4200000,17500000,31400000,12700000,1
4,1,1,6600000,20500000,8,4,18800000,5400000,15100000,9400000,1
3,1,0,8600000,23600000,4,1,13800000,3800000,28500000,4300000,0
5,1,0,7900000,28600000,12,4,12100000,14400000,30000000,11700000,1
5,1,1,6800000,22600000,2,4,3500000,12500000,18200000,9900000,1
4,1,0,700000,1800000,8,4,1600000,1000000,1300000,300000,1
2,0,1,3800000,10000000,12,1,2400000,4200000,14200000,5100000,0
5,1,1,6900000,18300000,4,1,12600000,13100000,23200000,6100000,0
1,1,1,3700000,12400000,12,1,3400000,1000000,10400000,2800000,0
1,1,0,7900000,24000000,12,4,20500000,10000000,30700000,9400000,1
4,1,1,8800000,34200000,16,4,18700000,11000000,20700000,10700000,1
5,0,1,3300000,7800000,8,1,3000000,3900000,8300000,4200000,0
4,0,0,5800000,14200000,20,1,10200000,4000000,21100000,3400000,0
1,1,1,7400000,29500000,16,1,10000000,4400000,29400000,8100000,0
1,1,0,8200000,25600000,4,3,2000000,5900000,17300000,4400000,1
0,0,1,3300000,9600000,8,1,6100000,700000,9700000,2000000,0
4,1,1,5300000,10700000,12,1,1000000,10200000,11600000,5700000,0
1,0,0,5700000,19100000,12,2,9400000,10200000,16400000,4500000,1
2,0,0,9000000,31000000,14,3,21300000,5400000,31100000,12900000,1
3,1,0,5900000,14400000,10,1,2400000,5100000,23000000,3700000,0
2,0,0,5400000,11900000,6,1,15000000,9200000,15400000,6900000,0
0,1,0,9800000,34800000,14,1,3000000,2200000,23800000,9600000,0
4,1,1,9800000,34100000,14,3,6500000,16900000,27100000,5100000,1
4,0,1,3800000,8200000,4,1,10900000,3900000,10200000,3300000,0
0,0,0,9500000,24400000,14,4,14400000,2400000,30800000,14200000,1
3,1,1,2500000,7100000,6,1,3800000,3300000,8700000,3000000,0
1,1,0,1900000,6000000,20,1,1100000,1400000,4300000,1300000,0
5,1,1,4400000,10600000,20,4,9700000,3600000,10800000,2500000,1
4,1,1,1400000,2900000,6,3,3800000,0,4700000,1600000,1
5,0,1,3200000,11800000,16,2,8100000,2700000,9200000,1800000,1
1,1,1,3100000,9200000,16,1,2400000,3500000,7100000,3500000,0
4,1,0,4500000,9900000,10,1,11100000,3100000,12200000,2700000,0
3,0,1,9300000,23500000,16,3,3500000,9900000,27300000,9800000,1
2,1,0,6900000,18200000,20,1,15600000,4300000,22900000,5400000,0
0,0,1,3900000,8600000,2,3,4300000,6600000,13500000,2000000,1
5,0,0,3200000,7400000,12,2,9400000,5500000,10600000,3600000,1
1,0,1,5600000,21100000,10,1,9700000,1400000,13900000,8100000,0
4,0,1,3700000,11900000,18,2,6100000,6400000,11200000,4700000,1
3,0,0,8400000,27200000,12,2,21400000,8800000,23700000,4700000,1
0,0,1,4200000,8900000,14,4,3000000,1600000,13300000,4800000,1
4,1,0,3800000,8500000,10,1,6200000,4800000,14900000,4100000,0
3,1,0,3200000,8200000,8,1,4900000,5600000,10700000,1600000,0
1,1,0,9700000,33900000,10,4,24600000,16200000,28300000,6600000,1
1,0,1,4300000,9400000,6,1,7400000,5200000,14800000,4200000,0
5,1,1,8100000,20300000,18,4,1600000,7900000,31700000,7400000,1
5,0,1,9400000,23200000,14,4,16900000,1200000,34900000,4700000,1
4,0,1,8100000,19400000,6,1,7800000,9300000,29300000,4500000,0
4,1,0,6500000,14500000,4,2,10300000,9500000,22800000,6400000,1
2,1,0,9400000,23100000,4,1,20100000,3500000,28600000,10900000,0
1,0,1,2600000,6600000,20,4,2100000,200000,5200000,1300000,1
3,0,1,8000000,25600000,6,1,8800000,500000,18900000,9800000,0
1,1,0,4700000,9300000,8,1,1000000,4700000,14600000,5700000,0
2,1,1,7600000,22300000,12,2,2100000,13800000,17700000,7100000,1
1,1,1,6800000,27200000,2,3,4600000,2400000,27100000,6300000,1
2,0,1,6600000,17000000,2,1,100000,1800000,23300000,6700000,0
2,1,0,8200000,27200000,10,1,11400000,4900000,29300000,4500000,0
1,1,1,4400000,12300000,6,2,2400000,7900000,17200000,6600000,1
1,0,0,8300000,29200000,6,4,13700000,9900000,31500000,9500000,1
0,1,0,9200000,36500000,14,1,10500000,5300000,22400000,13200000,0
5,0,1,2700000,8700000,20,3,2600000,1200000,9000000,1300000,1
0,1,0,6100000,23600000,20,4,3300000,5200000,17700000,6400000,1
4,0,1,9100000,33000000,8,1,15700000,14400000,19500000,11200000,0
5,0,1,7600000,15400000,14,2,2300000,2800000,24500000,4700000,1
2,0,0,7200000,17000000,10,4,18100000,12700000,15800000,6000000,1
0,1,1,2600000,8200000,8,3,3500000,4200000,7100000,3200000,1
4,1,1,6500000,20200000,12,3,18600000,1400000,23800000,6400000,1
5,1,0,8900000,35500000,16,1,17200000,11300000,25200000,4900000,0
2,1,1,5400000,14300000,14,1,10200000,700000,11100000,5500000,0
0,1,0,300000,500000,2,4,200000,400000,700000,200000,1
0,0,0,8400000,19600000,18,1,17000000,3600000,24200000,12300000,0
3,1,0,8300000,17200000,8,4,4700000,8800000,18300000,10000000,1
4,0,0,1700000,5600000,8,1,2700000,800000,3500000,2400000,0
2,0,0,1500000,4200000,16,4,2500000,800000,5700000,1100000,1
1,0,1,200000,500000,2,2,500000,100000,500000,100000,1
1,1,1,1000000,3700000,14,4,2000000,200000,3800000,1400000,1
3,0,1,8800000,25100000,8,1,17200000,600000,24400000,12400000,0
0,1,1,1000000,3200000,8,1,500000,600000,3700000,700000,0
0,0,1,8600000,23000000,14,3,18800000,16400000,22900000,12000000,1
5,1,1,2400000,8900000,2,3,1700000,2000000,9200000,2100000,1
1,1,0,2400000,8900000,8,4,2400000,1200000,5500000,1100000,1
5,0,1,6000000,12100000,20,4,13900000,4800000,18000000,3600000,1
5,0,0,7600000,16300000,18,4,5100000,1900000,20700000,5000000,1
3,0,0,8000000,20100000,10,2,9800000,15500000,26100000,5200000,1
0,1,1,5400000,19500000,16,4,2600000,2700000,18300000,6000000,1
0,0,1,1400000,3700000,4,4,3000000,1000000,4600000,1000000,1
0,0,1,800000,2600000,2,2,300000,1200000,2000000,500000,1
4,1,1,300000,1100000,4,1,700000,100000,1100000,400000,1
0,1,0,4100000,14400000,4,4,2700000,6000000,9900000,4200000,1
2,0,0,1500000,3800000,4,4,2800000,0,5300000,1400000,1
1,0,0,4600000,13900000,8,1,13300000,6400000,9800000,2200000,0
1,1,1,3300000,7500000,12,2,6400000,1700000,8700000,1600000,1
4,0,1,7900000,31400000,10,3,16500000,15200000,25400000,5000000,1
0,0,0,8100000,26500000,20,1,5800000,5600000,23700000,5800000,0
5,0,0,900000,2800000,16,4,2100000,900000,3100000,800000,1
1,1,1,4900000,15200000,10,1,5700000,7300000,14400000,3300000,0
3,1,1,6100000,18100000,14,1,11800000,4200000,16200000,7500000,0
3,0,0,4500000,16400000,6,1,1800000,5600000,12200000,3900000,0
2,1,1,2900000,7300000,8,1,7700000,2600000,7700000,4000000,0
1,0,0,7900000,29300000,2,4,17600000,12800000,20400000,4000000,1
5,1,1,4100000,10100000,4,4,4400000,6100000,8600000,4900000,1
5,0,1,7700000,15500000,8,1,6500000,9100000,26300000,4600000,0
0,0,0,5600000,19300000,18,1,6400000,2800000,19900000,6400000,0
5,1,0,9000000,18000000,18,1,24600000,5200000,20000000,6100000,0
4,0,1,6400000,18400000,16,1,17700000,3600000,13900000,8300000,0
4,1,0,6900000,14700000,2,1,12000000,7000000,15500000,4000000,0
3,0,0,9100000,27400000,18,3,8500000,7300000,31700000,6800000,1
2,1,1,1100000,3700000,2,4,2700000,800000,2900000,500000,1
4,0,0,1700000,4500000,12,4,3200000,1900000,4900000,1500000,1
5,1,1,9200000,28800000,20,2,14300000,10800000,33900000,10600000,1
2,0,1,8300000,20600000,12,3,22400000,9000000,31400000,8400000,1
5,0,1,5000000,10600000,6,4,12600000,8600000,19800000,3500000,1
3,1,0,2200000,6400000,2,1,1400000,2100000,4300000,1500000,0
2,1,0,4500000,9600000,16,1,1800000,6000000,17000000,2700000,0
5,0,1,4100000,9000000,6,2,6600000,1500000,11300000,3400000,1
1,0,0,2800000,6800000,18,2,7900000,400000,7300000,1500000,1
1,0,0,6600000,20700000,4,1,12800000,11900000,17700000,3900000,1
3,0,1,3200000,7200000,6,3,4800000,2000000,8000000,4600000,1
0,0,0,6300000,13300000,2,3,8800000,4000000,14200000,4900000,1
2,1,0,4700000,17700000,14,3,5800000,7200000,13100000,6500000,1
0,1,0,4100000,15400000,16,1,3000000,5200000,16200000,3100000,0
5,1,1,7100000,15500000,4,1,7600000,9000000,22400000,9400000,0
4,1,1,4900000,10200000,18,1,10900000,2200000,13700000,6600000,0
4,1,0,5600000,20300000,20,2,5100000,10900000,12700000,7900000,1
4,1,0,3400000,8300000,2,2,5700000,1900000,10200000,2700000,1
3,0,0,4500000,16100000,16,3,10500000,3600000,12400000,5800000,1
2,1,0,300000,800000,18,4,300000,300000,900000,400000,1
5,0,1,7600000,23000000,10,4,3100000,7300000,17600000,7300000,1
5,1,0,500000,1200000,12,1,1400000,500000,1000000,300000,0
0,1,1,5900000,15200000,16,1,15200000,3200000,12200000,6500000,0
0,1,0,7100000,20700000,10,4,9500000,11400000,27900000,8600000,1
2,0,1,8500000,26900000,6,1,21300000,16400000,21500000,4600000,0
0,1,1,6400000,16900000,16,4,16200000,7100000,15200000,3100000,1
2,1,0,7100000,21400000,12,3,11400000,13400000,22600000,4800000,1
5,0,0,1800000,5400000,14,1,3800000,1300000,4900000,1700000,0
3,0,1,6600000,25200000,20,2,13100000,3600000,20700000,8600000,1
4,1,1,8800000,27100000,2,1,16300000,6200000,26100000,5800000,1
2,0,0,4800000,15800000,20,4,1700000,3300000,13400000,5100000,1
5,1,1,4400000,16500000,10,4,3500000,4400000,11200000,2800000,1
0,0,0,2000000,6900000,2,1,2700000,3800000,7100000,1600000,1
2,1,0,6800000,22600000,20,1,2100000,2200000,20300000,8200000,0
5,0,1,6600000,16000000,12,4,13100000,5000000,14700000,5000000,1
2,1,0,3300000,7900000,20,4,4800000,2100000,13200000,2600000,1
3,0,0,7400000,23400000,16,3,19300000,3000000,20700000,8900000,1
0,0,1,4500000,12400000,18,3,10300000,200000,9200000,3100000,1
1,0,1,9500000,30500000,12,1,5400000,8000000,30800000,10500000,0
1,1,0,800000,3000000,4,1,900000,1000000,2600000,400000,1
2,1,0,4000000,13000000,4,3,6400000,6900000,15400000,4300000,1
2,0,0,7000000,25700000,18,1,3400000,13700000,14900000,4500000,0
3,1,0,3500000,8500000,18,2,7300000,0,12700000,2500000,1
3,1,1,9700000,36000000,6,2,3500000,5500000,28500000,7500000,1
0,0,0,3400000,10800000,6,1,5300000,1400000,11600000,1900000,0
1,1,1,4600000,13500000,20,4,5600000,7700000,11900000,2500000,1
4,1,0,3800000,10400000,10,4,7500000,2500000,14100000,4200000,1
4,0,1,4200000,9600000,20,4,7400000,900000,9100000,3400000,1
2,1,0,2500000,8700000,4,3,0,600000,9700000,2600000,1
0,0,1,7000000,24600000,6,1,6400000,2600000,24500000,4700000,0
1,0,0,5300000,11500000,8,4,10000000,4200000,14400000,3000000,1
0,0,0,6400000,14200000,2,1,1600000,9200000,23100000,3500000,0
3,0,0,3400000,8100000,12,1,6100000,4000000,10700000,4000000,0
4,0,0,6700000,18800000,2,3,15600000,7900000,19900000,8600000,1
1,0,1,4600000,10100000,4,2,2200000,100000,12900000,4300000,1
4,1,1,900000,2500000,4,2,1300000,800000,1800000,1100000,1
0,1,0,5100000,19900000,18,3,4400000,0,17100000,7100000,1
0,0,1,7000000,20900000,20,1,11800000,10800000,21100000,6200000,0
3,1,1,4100000,14700000,6,3,6600000,3700000,10500000,5600000,1
2,1,0,4600000,14800000,6,1,12900000,6800000,16100000,5800000,0
2,1,1,3600000,11500000,8,2,1600000,5200000,10900000,3000000,1
5,1,0,5900000,13800000,14,1,12400000,600000,20400000,3000000,0
2,1,0,600000,2100000,16,1,900000,500000,2300000,300000,0
0,1,0,4900000,16400000,2,1,3300000,3500000,15000000,5800000,1
5,1,1,6400000,23900000,6,1,14700000,12400000,25400000,4300000,0
2,1,0,7000000,19800000,10,2,3900000,9400000,22800000,8000000,1
3,1,1,6700000,13400000,14,4,4900000,4000000,25800000,9600000,1
1,0,1,800000,2200000,4,4,900000,200000,2200000,1000000,1
5,0,0,7600000,27800000,2,4,18400000,12200000,16900000,8000000,1
5,1,1,3200000,7600000,4,1,5000000,2900000,10600000,1900000,0
2,0,1,4900000,13800000,2,2,9900000,1400000,9900000,7000000,1
3,0,0,7200000,20800000,16,2,2100000,10700000,21100000,3600000,1
3,1,0,5600000,20600000,6,1,6400000,9700000,20200000,4100000,0
4,1,1,7300000,18300000,8,1,10000000,2900000,26800000,6700000,0
4,0,0,3300000,7000000,20,1,8200000,3200000,7300000,2500000,0
2,1,1,9200000,25300000,4,4,25900000,15900000,19300000,11000000,1
3,0,1,8100000,23300000,20,3,15700000,2900000,28100000,6200000,1
5,1,0,6600000,21400000,10,1,12700000,11100000,20200000,6400000,0
0,1,1,4200000,13600000,4,4,8700000,3400000,12000000,3100000,1
2,1,0,5800000,21700000,8,1,12500000,2300000,12200000,6800000,0
2,1,1,5600000,21000000,18,4,9800000,1600000,20900000,6000000,1
0,0,1,3600000,9900000,12,2,10300000,2400000,9100000,2700000,1
1,1,1,7700000,16900000,6,2,22600000,7900000,27400000,10200000,1
0,1,1,7800000,23300000,10,2,12500000,9300000,27500000,9700000,1
3,0,0,5700000,15400000,16,1,4700000,3000000,16400000,5600000,0
5,1,0,6300000,20500000,14,1,4300000,3600000,18300000,9100000,0
5,0,1,2300000,4700000,18,2,1600000,3900000,6200000,2800000,1
4,1,1,9600000,19900000,6,1,3200000,16500000,28100000,6600000,0
1,0,1,1000000,3900000,16,1,2500000,300000,2100000,600000,0
5,1,1,7200000,27100000,12,1,8400000,12800000,28100000,4800000,0
2,0,1,3800000,11400000,16,3,9000000,2400000,8000000,3800000,1
4,0,1,9300000,24600000,16,1,18100000,0,26700000,5100000,0
2,0,1,7200000,21900000,12,2,0,11400000,14600000,3800000,1
0,1,0,7600000,19700000,12,1,4300000,5200000,29500000,7300000,0
4,1,0,4500000,15300000,10,4,13200000,6900000,10800000,2200000,1
1,0,1,9900000,30900000,20,2,12100000,6100000,38600000,12100000,1
0,0,1,700000,2000000,18,3,400000,1300000,2800000,500000,1
0,1,0,3500000,12300000,16,1,9700000,6000000,7900000,4700000,0
1,1,1,300000,1000000,14,1,100000,100000,1100000,100000,0
5,0,1,5400000,16700000,2,1,1100000,4500000,19300000,5200000,1
4,0,1,2800000,8400000,10,1,1500000,1200000,9100000,3700000,0
5,0,1,4900000,15900000,8,1,12400000,4900000,14900000,6100000,0
4,0,0,600000,1700000,12,1,400000,0,1700000,700000,0
0,1,0,3000000,8100000,6,3,3200000,4900000,10200000,3200000,1
0,1,0,1800000,5800000,18,1,2900000,700000,6700000,1000000,0
4,1,1,5100000,15700000,6,4,11200000,8300000,19200000,3600000,1
5,1,0,1400000,4100000,14,4,3700000,1800000,2800000,2100000,1
2,1,1,6700000,25500000,10,3,11100000,8600000,25100000,5000000,1
3,0,0,4300000,12600000,18,1,9300000,900000,13200000,6100000,0
3,1,1,7800000,19600000,4,4,18100000,10500000,20500000,7700000,1
3,0,0,5400000,15800000,18,4,12700000,2300000,16400000,7200000,1
0,0,0,500000,1900000,2,4,1100000,500000,1800000,300000,1
1,1,0,8600000,26700000,10,3,11800000,9100000,20700000,11200000,1
3,1,0,2500000,9300000,4,4,2700000,3300000,9400000,3700000,1
4,0,0,3000000,7200000,2,3,900000,3400000,9600000,1700000,1
5,0,1,7000000,26900000,4,4,1400000,4200000,22400000,7400000,1
1,0,1,400000,1500000,16,3,400000,300000,1200000,200000,1
5,0,0,5200000,13700000,16,1,8800000,4500000,15700000,2900000,0
3,1,0,3300000,11100000,2,3,6500000,3700000,12300000,4500000,1
1,0,1,2400000,8800000,18,1,3600000,2200000,7100000,2500000,0
4,1,1,5800000,15800000,14,1,6300000,100000,21400000,8700000,0
4,0,1,9400000,20000000,12,4,3600000,1600000,34400000,8000000,1
2,0,0,6100000,15300000,2,4,7100000,5500000,17800000,5300000,1
1,1,1,7500000,21400000,20,3,13000000,10300000,28100000,8100000,1
2,0,0,4100000,16200000,6,1,3500000,3100000,15100000,3700000,0
3,0,0,8500000,30800000,14,3,11000000,8200000,19400000,7200000,1
0,1,0,4300000,16900000,8,4,6500000,5400000,12000000,3700000,1
5,0,0,9300000,22000000,4,4,20900000,10000000,24200000,12100000,1
4,0,0,6000000,18700000,2,2,4300000,4000000,19100000,5700000,1
1,0,1,5300000,18900000,16,1,300000,5000000,11900000,5500000,0
5,0,1,7400000,16200000,2,4,17000000,2700000,19400000,9200000,1
1,0,1,1100000,3800000,8,4,600000,1800000,4000000,1600000,1
1,1,1,6600000,20700000,4,2,4800000,200000,26400000,8900000,1
3,1,0,8200000,28300000,2,1,15000000,10500000,20200000,12100000,1
3,0,0,3300000,9300000,12,1,5300000,2600000,7500000,2000000,0
4,1,1,2500000,9000000,10,1,6700000,2000000,7300000,3000000,0
3,1,1,3300000,10400000,12,4,7100000,6300000,11800000,4900000,1
5,0,0,1000000,2300000,16,1,1700000,700000,2900000,1400000,0
5,1,1,6200000,12800000,2,1,5600000,9800000,22300000,4800000,0
1,1,0,7000000,21000000,20,2,16900000,6600000,14600000,5600000,1
2,1,1,7000000,19000000,6,1,5300000,9300000,25800000,9500000,0
1,0,1,5300000,12000000,10,4,400000,10400000,18900000,5000000,1
0,0,1,1800000,3700000,2,1,3900000,2400000,4500000,1400000,0
0,1,1,2300000,7900000,10,1,6600000,2800000,8100000,1900000,0
2,1,0,4000000,9200000,16,4,3200000,600000,13000000,4900000,1
1,0,0,8900000,24000000,6,1,16500000,7400000,27700000,7500000,0
3,1,0,8000000,18600000,20,2,1600000,8600000,22500000,9400000,1
4,1,1,7900000,26900000,14,1,17900000,7300000,16500000,8200000,0
5,1,1,6700000,20200000,8,1,6900000,4900000,15300000,7100000,0
4,0,0,2400000,6000000,6,3,6800000,2200000,6000000,1200000,1
4,0,0,8600000,22600000,14,3,300000,16200000,20500000,11900000,1
1,0,1,5300000,14600000,20,1,11200000,2800000,17000000,4600000,0
0,1,0,7400000,24900000,20,2,7100000,7900000,23300000,6200000,1
0,0,1,8700000,18700000,10,1,1200000,1800000,30700000,8200000,0
5,1,0,8200000,18500000,4,1,9600000,5700000,27400000,11100000,0
0,0,1,3700000,9700000,12,1,2600000,6600000,9200000,4600000,0
5,0,1,9200000,36300000,2,3,3000000,1200000,32200000,8700000,1
4,0,0,6100000,20900000,4,3,10200000,7000000,23300000,4100000,1
2,1,1,8800000,30800000,20,4,700000,4800000,25900000,12700000,1
5,0,0,9200000,18900000,10,1,8300000,14500000,23400000,6900000,0
3,1,0,7200000,27900000,12,1,21100000,8800000,27800000,8700000,0
1,1,0,600000,1200000,10,2,900000,300000,1400000,600000,1
5,1,0,8000000,23100000,20,1,5900000,2400000,29300000,7200000,0
4,1,1,6900000,13800000,16,3,2100000,6100000,20900000,8200000,1
0,0,1,4300000,15600000,18,1,6200000,1300000,10000000,4700000,0
3,0,1,8500000,24900000,18,3,9600000,1200000,31700000,10100000,1
4,0,0,8600000,17400000,2,4,11700000,10600000,18400000,10600000,1
3,1,0,6300000,13900000,18,3,17700000,8800000,21700000,8600000,1
3,0,1,5800000,13600000,12,1,1700000,3300000,22300000,3400000,0
3,1,1,1000000,2300000,10,1,1000000,400000,2500000,1000000,0
0,0,1,1700000,5400000,8,3,2400000,1000000,3900000,2100000,1
2,0,0,3200000,8600000,18,2,1000000,4900000,8600000,3500000,1
0,1,1,7500000,16600000,14,1,17200000,14500000,24100000,10300000,0
1,0,1,2000000,6600000,10,4,1400000,200000,6300000,2400000,1
3,0,0,9100000,19700000,20,1,6300000,13700000,23700000,12900000,0
4,1,1,8400000,19700000,8,4,17900000,9200000,20200000,7700000,1
4,1,0,7100000,27200000,16,4,2400000,8000000,22400000,3900000,1
2,0,0,200000,800000,6,1,100000,0,400000,100000,0
0,0,1,5000000,14900000,12,2,12800000,1500000,12300000,6600000,1
0,0,1,4500000,16900000,8,4,6300000,6800000,14000000,6000000,1
2,0,1,5100000,19700000,2,3,0,4500000,12900000,6200000,1
3,1,1,4100000,10600000,14,1,5400000,4300000,13900000,4500000,0
1,0,0,7200000,15000000,10,3,10600000,3900000,24500000,4100000,1
3,0,0,7800000,17700000,6,1,12600000,3700000,24700000,10000000,0
3,1,1,7500000,25300000,12,4,13200000,10800000,19400000,9600000,1
3,1,1,6400000,21000000,2,4,3900000,10900000,20500000,4400000,1
4,1,0,7000000,25700000,20,2,19900000,13500000,27500000,10100000,1
4,0,1,9000000,31100000,8,4,7100000,4400000,23400000,13100000,1
2,0,1,4400000,13900000,6,4,13200000,4200000,15000000,5200000,1
2,0,0,900000,2000000,14,1,1700000,0,2100000,600000,0
1,1,0,9800000,26900000,18,4,15900000,14100000,25200000,11900000,1
4,0,0,600000,1600000,6,4,300000,100000,1900000,500000,1
5,1,1,9700000,30100000,12,1,19600000,17900000,21000000,6900000,0
2,1,1,8400000,32600000,10,1,13900000,1600000,21600000,7000000,0
1,1,0,8300000,24900000,10,2,11500000,15400000,21600000,5800000,1
4,1,0,7900000,29900000,8,1,22000000,4600000,26000000,8100000,0
1,0,0,8600000,25900000,2,2,3700000,14900000,32700000,12200000,1
5,0,1,6700000,17600000,14,4,12700000,200000,19500000,5600000,1
0,1,0,2700000,7400000,10,4,6800000,800000,5600000,2800000,1
0,0,0,6600000,25600000,8,3,12600000,12200000,21700000,9000000,1
1,1,1,7100000,20800000,20,1,9600000,7300000,24700000,8800000,0
5,1,1,300000,700000,10,2,0,400000,1000000,100000,1
2,1,0,2200000,7000000,6,4,6100000,400000,4400000,3300000,1
1,1,1,8700000,31700000,12,1,7800000,10200000,30300000,6100000,0
4,1,0,7200000,23100000,12,2,4600000,8500000,19400000,4400000,1
0,0,0,2000000,4800000,20,1,1300000,2200000,5500000,1700000,0
4,1,1,8600000,27900000,8,1,22400000,1800000,34000000,11700000,0
2,1,1,2300000,5400000,8,1,4500000,500000,7000000,2000000,0
2,0,1,9600000,29800000,16,1,28500000,6300000,31800000,7400000,0
2,1,1,1900000,6500000,16,4,2000000,1200000,4500000,1700000,1
1,1,0,2100000,6300000,16,4,3900000,2200000,7700000,2900000,1
1,0,1,3900000,8700000,8,4,900000,2500000,10700000,2100000,1
5,0,1,200000,300000,10,3,500000,100000,800000,200000,1
1,0,1,1900000,4500000,12,3,1200000,2000000,4400000,1200000,1
0,0,1,3200000,11600000,4,1,4700000,300000,8000000,3100000,1
0,0,0,1100000,4300000,18,4,700000,800000,2900000,900000,1
5,1,1,8000000,21500000,12,4,2600000,15100000,29800000,10400000,1
4,1,1,6100000,21700000,6,4,13900000,900000,14100000,5600000,1
5,1,0,3200000,10600000,2,1,6500000,3700000,11200000,3700000,1
4,1,1,9000000,30400000,20,1,21000000,7400000,30500000,13100000,0
0,0,1,1200000,3200000,2,3,1500000,1000000,3400000,900000,1
3,1,0,7900000,27000000,6,2,17700000,7800000,27600000,11500000,1
3,1,1,7700000,23100000,8,4,2900000,9800000,20400000,7000000,1
2,0,0,4400000,16500000,16,4,7800000,7500000,10300000,5400000,1
1,0,0,3100000,11200000,18,3,2000000,5400000,12000000,2500000,1
5,0,1,2600000,9300000,16,3,5100000,1200000,7700000,3700000,1
4,1,0,5500000,21700000,14,4,5000000,8700000,15200000,3100000,1
1,1,0,5700000,15500000,8,1,10500000,8700000,20900000,7000000,0
5,1,0,6100000,20700000,20,1,9400000,2000000,16900000,5900000,0
2,1,0,8200000,22500000,18,4,13400000,14300000,28400000,8400000,1
1,1,0,6000000,21200000,12,1,17900000,8200000,16900000,6200000,0
1,1,1,8000000,30600000,10,3,23700000,8500000,24900000,9700000,1
4,0,0,2000000,4800000,8,1,1500000,800000,4000000,2600000,0
5,1,1,1300000,2900000,12,3,400000,1700000,3900000,1800000,1
1,1,0,7000000,27100000,6,2,6700000,12200000,21500000,4900000,1
3,1,0,4100000,15300000,6,1,7500000,5100000,8200000,2000000,0
3,1,0,8000000,26200000,16,4,15800000,4300000,25000000,4000000,1
4,0,0,8100000,28000000,8,3,8800000,11300000,26000000,5500000,1
4,1,1,9500000,22600000,14,1,10000000,900000,23100000,13400000,0
0,1,0,9200000,22500000,10,1,14200000,17400000,28500000,10700000,0
2,1,0,3900000,14700000,16,1,2600000,200000,8300000,2900000,0
1,1,0,9100000,26200000,8,3,20800000,7100000,27800000,8900000,1
3,1,1,3000000,8300000,4,3,2900000,5400000,11300000,3800000,1
4,1,0,2000000,4300000,8,1,2000000,2700000,7700000,2200000,0
5,1,0,6300000,14600000,8,1,13300000,10100000,24500000,3800000,0
3,0,1,4100000,10900000,8,1,8800000,5200000,13200000,4300000,0
0,0,0,9800000,29400000,20,2,1200000,14600000,33800000,8300000,1
2,1,0,5200000,15400000,8,3,1200000,7500000,12800000,3200000,1
3,1,0,7600000,28700000,18,4,21300000,12400000,29600000,8000000,1
3,0,0,9200000,35500000,2,3,11100000,11800000,19800000,11700000,1
5,0,0,2200000,8100000,4,1,300000,0,4900000,2400000,0
2,0,1,8300000,20600000,10,1,100000,900000,33200000,6700000,0
3,1,1,6100000,21600000,16,1,2900000,6100000,15100000,7200000,0
2,1,0,4500000,16600000,20,3,6400000,4200000,16900000,2400000,1
3,0,0,6600000,18800000,12,4,18800000,9300000,13700000,4800000,1
4,0,0,8900000,34900000,14,3,15400000,2800000,20600000,9100000,1
4,1,1,3900000,13300000,20,1,9800000,500000,12300000,4700000,0
3,1,1,8900000,35400000,14,1,22300000,7700000,26400000,5900000,0
5,0,0,6400000,22300000,12,4,500000,9100000,24100000,5800000,1
1,0,1,9500000,28700000,16,1,24600000,4900000,31800000,6600000,0
3,1,1,300000,1000000,8,2,700000,200000,1100000,200000,1
5,0,0,4100000,12300000,6,2,10900000,6100000,14100000,3500000,1
2,1,0,8100000,20800000,18,4,4100000,15500000,16700000,10600000,1
4,1,0,9900000,28400000,10,4,23700000,12700000,35800000,5800000,1
0,0,0,4800000,19000000,12,3,7000000,1000000,15600000,4800000,1
0,1,1,2900000,9700000,2,4,6700000,1600000,9100000,3900000,1
1,0,1,3500000,13500000,12,4,8400000,3900000,11600000,4100000,1
1,0,1,4900000,12600000,4,3,11800000,7300000,11800000,3800000,1
2,0,1,5100000,13300000,14,1,5900000,7900000,18000000,3900000,0
5,1,0,7300000,26200000,10,4,1400000,12200000,26700000,10400000,1
0,1,1,200000,300000,18,1,100000,300000,600000,100000,0
2,1,0,1400000,4700000,4,1,2100000,600000,4400000,1400000,1
